Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,18152417,302485.796,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,17908967,298427.037,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,16998276,283251.193,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,16374801,272892.669,0.4
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,14712227,245189.203,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,12377809,206277.860,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,9253073,154208.700,0.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,,,
0,adjustAPPEND_16_webserver.f,,,,,
1,adjustAPPEND_16_webserver.f,,,,,
2,adjustAPPEND_16_webserver.f,,,,,
3,adjustAPPEND_16_webserver.f,,,,,
4,adjustAPPEND_16_webserver.f,,,,,
5,adjustAPPEND_16_webserver.f,,,,,
6,adjustAPPEND_16_webserver.f,,,,,
7,adjustAPPEND_16_webserver.f,,,,,
